koi_disposition,koi_score,koi_depth,koi_model_snr,koi_period,koi_duration,koi_prad,koi_srad,koi_kepmag,koi_teq
CONFIRMED,0.415,252.1,60.2,12.69104387,3.7727,2.57,1.626,12.935,1008.0
FALSE POSITIVE,0.228,12861.0,85.8,4.409409243,3.8636,10.95,0.975,15.403,1101.0
CONFIRMED,1.0,2590.7,123.8,16.23947096,4.0374,4.14,0.837,15.258,598.0
CONFIRMED,1.0,1328.5,86.2,6.308201629,2.9785,2.96,0.837,15.258,819.0
CONFIRMED,1.0,14281.0,1072.1,2.052349884,2.0778,13.12,1.08,15.257,1497.0
CONFIRMED,1.0,1897.8,58.0,9.7704486,2.4517,2.23,0.509,15.777,460.0
CONFIRMED,1.0,1037.4,41.4,5.169804269,2.153,1.66,0.509,15.777,569.0
CONFIRMED,1.0,366.0,114.9,21.22261195,6.5093,2.48,1.302,12.365,771.0
CONFIRMED,1.0,1432.1,36.9,20.09017037,4.154,2.25,0.509,15.777,362.0
CONFIRMED,0.999,807.6,44.4,7.11373257,2.1764,1.16,0.411,15.234,429.0
CONFIRMED,0.999,509.2,37.8,3.306551643,1.8177,0.91,0.411,15.234,554.0
CONFIRMED,0.998,756.1,30.9,15.36845737,2.4714,1.11,0.411,15.234,332.0
CONFIRMED,1.0,1309.7,46.2,13.81020318,3.048,4.56,1.142,15.425,833.0
CONFIRMED,1.0,538.6,36.4,4.093578461,2.5833,2.85,0.999,15.399,1182.0
CONFIRMED,0.999,685.4,15.4,105.145959,8.593,3.43,0.999,15.399,401.0
CONFIRMED,1.0,1675.6,64.5,10.8484518,2.9993,2.34,0.591,15.058,499.0
CONFIRMED,1.0,362.3,14.2,6.66833241,1.915,1.18,0.591,15.058,587.0
CONFIRMED,0.997,17859.0,1669.1,4.082274889,3.23015,10.55,0.794,15.198,1016.0
CANDIDATE,1.0,581.6,48.1,3.886655224,3.1646,1.87,0.738,15.371,1010.0
CONFIRMED,1.0,895.5,21.6,42.1406089,5.083,1.85,0.646,15.791,349.0
CONFIRMED,1.0,575.8,28.1,4.617490562,2.2618,1.62,0.646,15.791,728.0
CONFIRMED,0.996,634.1,21.4,10.19849255,2.4283,1.75,0.646,15.791,559.0
FALSE POSITIVE,0.0,1692.9,119.4,5.795063956,3.2496,4.33,0.827,15.289,950.0
CONFIRMED,1.0,867.0,47.7,7.15681552,2.5882,2.47,0.838,15.46,782.0
CONFIRMED,1.0,763.3,23.8,17.64830851,2.0873,2.43,0.838,15.46,579.0
CONFIRMED,0.957,175.2,12.9,4.14810719,2.535,1.08,0.838,15.46,938.0
CONFIRMED,1.0,973.5,55.9,16.51410989,4.1575,2.72,0.866,15.223,655.0
CONFIRMED,1.0,1015.8,44.8,30.1329298,5.172,3.14,0.866,15.223,536.0
CONFIRMED,1.0,251.3,21.2,4.79090809,2.603,1.36,0.866,15.223,990.0
CONFIRMED,1.0,363.4,63.1,31.71981013,4.819,3.09,1.626,12.935,743.0
CONFIRMED,1.0,952.5,22.7,99.6415962,4.448,2.64,0.866,15.223,360.0
CONFIRMED,1.0,7912.7,633.4,4.708326451,3.16114,10.6,1.21,15.113,1162.0
FALSE POSITIVE,0.0,4147.6,54.5,16.37198661,3.8449,540.37,0.592,15.654,438.0
CONFIRMED,1.0,1151.4,77.4,5.392026903,2.9804,2.68,0.801,15.651,850.0
CANDIDATE,1.0,863.7,69.2,2.494170338,1.1221,2.42,0.829,15.251,1194.0
CONFIRMED,1.0,7163.3,502.3,6.491682808,4.301,9.66,1.107,15.649,1062.0
FALSE POSITIVE,0.0,1695.0,203.5,3.044770796,10.0134,24.54,0.753,15.621,1076.0
CONFIRMED,0.999,16653.0,1173.9,3.855603916,3.2179,13.61,1.046,15.272,1212.0
FALSE POSITIVE,0.0,1030.9,90.1,3.855599139,3.183,3.57,0.965,15.054,1158.0
CONFIRMED,0.92,23530.0,1077.8,38.47876629,5.04169,13.26,0.879,13.779,484.0
FALSE POSITIVE,0.0,59130.0,1667.3,37.601661282,8.30604,27.22,1.096,15.505,606.0
CONFIRMED,1.0,1398.2,123.5,3.314947362,1.8007,3.94,0.944,15.142,1155.0
FALSE POSITIVE,0.0,969.7,45.4,6.71969089,3.0231,4.37,0.866,15.172,952.0
CONFIRMED,0.996,15664.0,690.3,39.6431552,6.5292,10.98,0.9,15.011,472.0
FALSE POSITIVE,0.0,66068.0,1843.8,51.42598578,16.9422,29.66,1.147,15.631,549.0
CONFIRMED,1.0,1144.9,49.9,21.80451611,3.4097,2.6,0.708,15.067,543.0
CONFIRMED,1.0,1110.7,55.0,10.28194593,3.4366,2.53,0.775,15.532,680.0
